Date of Visit,Transect Number,"Point Count/Quadrat # (0, 10, 20 m)",Location Name,Fire Name,Year of Fire,Bin Category,Tree Abundance,Tree Diversity,# of Burnt Trees/Shrubs,Shrub Abundance,Shrub Diversity,Herb/Flower Abundance,Herb/Flower Diversity,Total Diversity,Total Healthy,Total Abundance,Quadrat Cell,Dominant Functional Species,Dominant Functional Type,Weather,Temperature (°F),Temperature (°C),Air Quality Index,Humidity (%),Soil,Elevation (m),Coords.,Dir. of Transect (RNG),Slope Dir.,Bird Point-Count Transect,Time Start,Time End,Observed Species,Total Individuals,Total Species
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.737",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.738",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.739",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,4,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.740",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,5,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.741",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,6,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.742",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.743",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.744",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,0,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,9,Deerweed,SH,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.425' W118""34.745",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,1,Red stem stork's bill,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,2,Red brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,3,Wishbone Bush,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,4,Red brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,5,Maltese Star Thistle,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,6,Maltese Star Thistle,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,7,Red Brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,8,Little Seed Muhly,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,10,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,9,Red stem stork's bill,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",351.0,"N 34""05.422' W118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,1,Red brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,2,Red stem stork's bill,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,3,,,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,4,Red brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,5,Red brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,6,,,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,7,Red stem stork's bill,HF,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
2025-04-24,1,20,Santa Ynez Canyon Trail,Palisades Fire,2021.0,2025-02-05 00:00:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,8,Red brome,GR,Cloudy,52.0,11.11,46,87.0,"Dry, compact",354.0,"N 34""05.419' W 118""34.742'",34,SE,1,07:24:00,07:34:00,"CASJ, HOFI, WREN, Passerine sp. (4), CAQU, SOSP, BHGR, Hummingbird sp., CASJ, CORA, LEGO",14,11
